objectid,title,displaydate,medium
165876,64 Copper Square,1969,copper
165894,Collapsing Cube,1966,Plexiglas and fluid
166401,Man Driving an Animal,c. 1747,"etching, hand-colored with watercolor, on laid paper"
166412,Quivi ciascuno a metter suori e inteso... (Preparing the Ammunition),1763,engraving on laid paper
166424,Thomas Jefferson,1804,engraving in black on wove paper
166438,The Return,1837,oil on canvas
166439,The Departure,1837,oil on canvas
167948,Colusa,2014,inkjet print
170247,Halte!!!,19th century,lithograph
170820,Untitled,c. 1950s,pen and black ink with watercolor on wove paper
170882,Enigma,c. 1984,color screenprint on wove paper
170938,Table of Snow,1945,dye imbibition print
172837,Un neveu qu gagne cruellement une succession,19th century,lithograph
172880,A Performance: Where Do I Come From?,1977,artist book of offset lithographs
172881,Un amour propre satisfait,19th century,lithograph
176868,Iceberg,1984,oil and latex on canvas
178226,Freedom of Speech and Religion [obverse],1943,silver
178242,Dish with portrait of Lucilla Princanalli,19th century,lead-glazed earthenware
179879,A Clichy,19th century,lithograph
195080,La Mère Gérard,1858,etching in black on wove paper
195194,Entre recors,19th century,lithograph
196549,Un amateur,1847,lithograph
197116,Une soirée d'allégresse a Clichy,19th century,lithograph
202758,Emperor Maximilian I,1519,woodcut on laid paper
204444,"Voisin, êtres-vous comme moi? ...",1865,lithograph
218444,Rehearsal,January 1962,gelatin silver print
221819,"Constellation II, Number 25",1989-1999,color etching on Zerkall Bütten paper
219334,"Woman of the ""Orient""",1837,oil on canvas
220507,"The Steps of a House at Mousehole, Cornwall",1880,watercolor on wove paper
222411,"The Pier, Harwich",1913,watercolor
222660,Théocrite (Theorcritus),1818,lithograph
4120,Christ on the Pillar,1517,woodcut
617,The Holy Family with the Three Hares,c. 1497/1498,woodcut
618,Bath House,c. 1496/1497,woodcut
619,The Knight on Horseback and the Lansquenet,c. 1496/1497,woodcut
660,Saint Philip,,woodcut
670,Christ on the Cross,1505,woodcut
661,Saint Bartholomew,,woodcut
662,Saint Matthew,,woodcut
69,A View on a High Road,1665,oil on canvas
663,The Martyrdom of Saint Barbara,,woodcut
6830,"""Why Did I Do It?""",,drypoint
664,The Ecstasy of Saint Mary Magdalene,1506,woodcut
10119,The Marshall Field House,,lithograph
10120,Judge Carpenter's House,,lithograph
665,Bookplate of Scheurl and Tucher,,woodcut
671,The Martyrdom of Saint Sebastian,,woodcut
666,Saint Bartholomew,,woodcut
672,The Stoning of Saint Stephen,,woodcut
10121,Wells Street,,lithograph
667,Christ Nailed to the Cross,1507,woodcut
7,Madonna and Child Enthroned with Four Saints and Eighteen Angels [middle panel],1354,tempera on panel
2,Saint Andrew and Saint Benedict with the Archangel Gabriel [left panel],shortly before 1387,tempera on poplar panel
3,"Madonna and Child Enthroned with Twelve Angels, and with the Blessing Christ [middle panel]",shortly before 1387,tempera on poplar panel
4,Saint Bernard and Saint Catherine of Alexandria with the Virgin of the Annunciation [right panel],shortly before 1387,tempera on poplar panel
5,The Madonna of Humility,c. 1430,tempera on panel
6,Saint Anthony Abbot [left panel],1354,tempera on panel
16,Profile Portrait of a Young Man,1430/1450,tempera on panel
4553,Errante,1926,etching
109,Colonel Francis James Scott,1796/1811,oil on canvas
560,William Vans Murray,1787,oil on canvas
131,The Virgin in Adoration,mid 19th century,terracotta
138,Mercury,c. 1780/c. 1850,bronze
4555,Viejo Lobo,,lithograph
4556,Atorrantes,1927,woodcut
553,"The Erectheum, West Elevation [left half]",c. 1898,graphite
554,"The Erectheum, West Elevation [right half]",c. 1898,graphite
566,John Randolph,1829,oil on canvas
10122,11 East Walton Place,,lithograph
10123,The Potter Palmer House,,lithograph
909,The Holy Family with the Mayfly,1495/1496,engraving on laid paper
984,Andrew W. Mellon,1933,oil on canvas
10124,West Erie Street,,lithograph
988,Andrew W. Mellon,1941,marble
989,Charles Evans Hughes,1941,oil on canvas board
993,The Red Cross Knight,1793,oil on canvas
1059,"Moore's Yard, Cambridge",1903,drypoint in black
999,Statuette of a Woman,possibly early 20th century,terracotta
1040,Joseph Conrad,1923/1925,drypoint
1058,Walberswick Ferry,1913,drypoint
1041,Country Mews,1908,drypoint
1042,Clare Market,1903,drypoint in black
1036,Ayr Prison,1905,drypoint in black
1037,The Ballantrae Road,1907,drypoint in black on wove paper
1038,Somerset House,1905,drypoint in black
1039,Joseph Conrad Listening to Music,1923/1925,drypoint
4639,Wild Geese,1936,etching
1043,Ely Cathedral,1903,drypoint in black
1044,Rev. Dr. James,1927,drypoint
1045,East Blatchington,1908,drypoint
1046,"Fisher's Creek, King's Lynn",1903,drypoint in black
1047,Hampstead Heath,1906,drypoint in black
1048,Near Siena,,graphite with gray wash
1049,"On the Y, Amsterdam",1913,drypoint
1050,"Piccadilly Circus, 1915",1915,drypoint
1051,Leonard Gow,1927,drypoint
1052,Rabindranath Tagore,1920,drypoint
1053,Rainy Night in Rome,1913,drypoint
1054,South Coast - No. 2,1908,drypoint
1055,"A Spanish Good Friday, Ronda",1925,drypoint in black
1056,"Yarmouth, Isle of Wight",1920,drypoint
1057,Walberswick Ferry,1913,drypoint
1062,Ben Ledi,1911,etching and drypoint
1063,Old St. Etienne,1907,etching and drypoint
1064,St. Paul's from the Thames,1899,etching and drypoint
1080,The Church at Old Lyme,1924,etching in black
1081,Independence Hall,1926,drypoint in black
1084,Washington's Headquarters near Valley Forge,1926,etching and drypoint in black
2599,Le Traitre Louis XVI,,etching and mezzotint in brown
1086,Margot as Lopokova,1920,drypoint in black
1124,John Quincy Adams,1824,oil on canvas
1095,Portrait of a Gentleman,c. 1750/1755,oil on canvas
1239,Joseph E. Widener,1921,oil on canvas
1097,Leslie Pease Barnum,1876,oil on canvas
1098,William Gedney Bunce,c. 1877-1878,oil on canvas
2600,La Panthere Autrichienne,,etching and mezzotint in brown
1125,Major Thomas Biddle,1832,oil on canvas
1108,Counsellor John Dunn,c. 1798,oil on canvas
1109,Mrs. William Hartigan,1787/1796,oil on canvas
1118,Possibly Robert Thew,c. 1780/1790,oil on canvas
1641,Cushion Cover (July),c. 1600/1699,
1127,Francis Hopkinson,1834,oil on canvas
1129,Abraham Kintzing,1815,oil on canvas
1130,Zachariah Schoonmaker,1815/1818,oil on canvas
1131,Portrait of a Lady,probably c. 1820,oil on canvas
1132,Robert G. L. De Peyster,1828,oil on wood
1134,Mary Walton Morris,1749/1752,oil on canvas
1137,Andrew W. Mellon,1927,bronze
7735,Luck,,drypoint
1645,Cushion Cover (December),c. 1600/1699,
1182,The Death of the Fox,c. 1791/1794,oil on canvas
1215,Miss Nelly O'Brien,early to mid nineteenth century,oil on canvas
2347,"""La partie de chasse de Henri IV"" I",,pen and black ink and brush and brown ink with brown wash
1980,Le Decameron ... (volume III),published 1757/1761,1 vol: ill: etchings & engravings
1997,"Le printemps, saison ou tout renait dans la nature",1765,graphite
2052,"Coronis poursuivie par Neptune, et Metamorphosee en Corneille par Minerve",1766,graphite
7736,Jolly Vagabonds,,drypoint
2187,Explication des travaux d'Hercule,1767,graphite
1438,Reliquary Châsse,c. 1175/1180,champlevé enamel on gilded copper with oak core
1451,Oval Dish with the Whore of Babylon,c. 1570,enamel painted on copper
1440,Aquamanile in the Form of a Horseman,13th century,bronze
1446,Pax with the Annunciation,c. 1500 (shell cameo); c. 1500/1520 (setting),"shell, gilded silver, copper, and enamel"
1442,Crucifix,c. 1150/1175,"gilded copper alloy with champlevé enamel, one jasper stone, and glass"
1443,Saint Agnes,1272/1298; cast c. 1897/1908,gilded copper
1452,Portrait of a Huguenot,1540,enamel painted on copper
1445,Diptych with Scenes from the Life of Christ,c. 1800/1839,"ivory, wood case with bone and wood intarsia"
10125,The Widow Clark House,,lithograph
1448,Triptych: Pietà,early 16th century,enamel on copper
1450,Oval Dish with the Birth of Adonis,c. 1560,enamel painted on copper
1459,Vessel Engraved with Hunting Scenes,c. 1570 (foot); 1850/1900 (body),rock crystal and enameled gold
1453,Round Dish with the Wedding Feast of Cupid and Psyche,c. 1562,enamel painted in grisaille on copper
1458,Vessel in the Form of a Dragon,"early 17th century (body); late 19th century (foot, head, mounts)","rock crystal, enameled gold, diamonds, rubies, emeralds"
1469,Pendant with a Triton,1885/1890,"baroque pearl; gold enameled in white, black, translucent red, green, blue, and yellow; 2 diamonds, 37 rubies, 4 pearls"
1460,Cylindrical Vessel,1850/1900,rock crystal and enameled gold
1462,Covered Cup,1875/1900,"rock crystal, enameled gold, 4 diamonds, ruby"
1464,Pendant with Europa and the Bull,1870/1890,"baroque pearl; gold enameled in white, black, dark green, pale blue, translucent red, green, yellow, and blue; 22 colorless stones (sapphires, diamonds), 1 blue sapphire, 19 red stones (rubies, glass), 6 pearls"
1467,Necklace and Pendant with a Sphinx,c. 1890,"gold enameled in white, black, translucent red, blue, and green; 28 diamonds, 5 emeralds, 43 rubies, 37 pearls"
1468,Pendant with a Mermaid,1885/1890,"baroque pearl; gold enameled in white, black, pale blue, translucent blue, red, and green; 14 diamonds, 10 rubies, 9 pearls"
1470,Pendant with a Centaur,1885/1890,"baroque pearl; gold enameled in black, white, pale blue, translucent red, green, and blue; 2 emeralds, 2 rubies, 1 piece of rock crystal or glass, 4 hanging pearls, 10 small pearls in the chain"
1473,"Plate with border of putti and trophies amid grotesques; in the center, a winged putto standing, armed, in a landscape",c. 1510/1520,tin-glazed earthenware (maiolica)
1475,"Plate with border of grotesques on an orange ground; in the center, Narcissus gazing at his reflection in a fountain",c. 1510/1520,tin-glazed earthenware (maiolica)
1625,Cushion Cover (August),c. 1600/1699,
1478,"Large dish with running plant border; in the center, horsemen fighting",c. 1500/1520,tin-glazed earthenware (maiolica)
1479,"Large dish with plant-pattern border; in the center, the arms of a Medici pope",1513 or later - probably not after 1534,tin-glazed earthenware (maiolica)
1560,Small Side Chair,16th century,"walnut, oak, and upholstery"
1480,"Large dish with scale border; in the center, an imperial Roman figure and the letter N crowned",c. 1510/1540,tin-glazed earthenware (maiolica)
1481,"Large dish with border of floral scrollwork with cornucopias and a crown; in the center, a griffin holding a shield of arms amid roses",c. 1500/1525,tin-glazed earthenware (maiolica)
1483,"Large dish with segmental border of plant sprays and scale pattern; in the center, a profile bust of a woman in a winged headdress",c. 1515/1540,tin-glazed earthenware (maiolica)
2720,Les georgiques,published 1770,1 vol: ill: etchings and engravings
1484,"Large dish with segmental border of half plant sprays and scale pattern; in the center, profile bust of a woman",c. 1515/1540,tin-glazed earthenware (maiolica)
1485,"Large dish with scale border; in the center, the Madonna and Child",c. 1500/1535,tin-glazed earthenware (maiolica)
1487,"Plate with border of rounded hills within pointed arches with flowers between them; in the center, a wading bird between stylized plants",c. 1490/1525,tin-glazed earthenware (maiolica)
1488,"Plate with running plant border and geometric panels on well; in the center, profile bust of a man in armor",probably c. 1490/1520,tin-glazed earthenware (maiolica)
1489,"Broad-rimmed bowl with palmette and cornucopia border; in the center, shield of arms of the Saracinelli of Orvieto",c. 1525/1528,tin-glazed earthenware (maiolica)
1495,"Plate with border of palmettes and scrollwork; in the center, a shield of arms and the initials A.F.",1526,tin-glazed earthenware (maiolica)
1561,Small Side Chair,16th century,"walnut, oak, and upholstery"
1491,"Plate with border of foliate scrollwork; in the center, shield of arms of Vigerio of Savona",1524,tin-glazed earthenware (maiolica)
7737,Lone Tree,,etching
1497,"Plate with Hero leaping to her death from her tower and the drowned Leander; in the center, a shield of arms",1538,tin-glazed earthenware (maiolica)
1499,"Plate with Jupiter, Juno and Io transformed into a cow",c. 1535/1540,tin-glazed earthenware (maiolica)
10117,The Glessner House,,lithograph
1502,Circular plaque with fruited wreath enclosing a shield of arms,1532,tin-glazed earthenware (maiolica)
1503,"Broad-rimmed bowl with border of dolphins and ""delphigriffs""; in the center, head of a young man",c. 1520/1530,tin-glazed earthenware (maiolica)
1504,"Broad-rimmed bowl with border of urns and cherubs' heads; in the center, device of a bird standing on a bundle with the inscription VINCENZO",1529,tin-glazed earthenware (maiolica)
1505,"Broad-rimmed bowl with Neptune raping Theophane; arms of Pucci with an ""ombrellino""",1532,tin-glazed earthenware (maiolica)
1506,"Broad-rimmed bowl with the sacrifice of the Greeks at Aulis and the omen of the serpent devouring nine birds, interpreted by the priest Calchas; arms of Anne de Montmorency",1535,tin-glazed earthenware (maiolica)
1507,Broad-rimmed bowl with Leda and the Swan,c. 1540/1545,tin-glazed earthenware (maiolica)
1508,"Plate with Bacchus seducing Erigone; at the top, a shield of arms",c. 1540/1545,tin-glazed earthenware (maiolica)
1510,"Plate with Hercules, Omphale, and Cupid",c. 1540/1550,tin-glazed earthenware (maiolica)
1516,"""The Morosini Helmet"" (visored burgonet)",probably 1550/1560,"repoussé and embossed iron or steel, with gilding and silvering"
1518,"Cassapanca, made for Strozzi Family",second half 16th century,poplar and walnut
1519,Cassone with Garlands and Cupids,second half 16th century,walnut with gilded gesso
1523,Walnut Savonarola Chair,fourth quarter 15th century,walnut
1524,Walnut Savonarola Chair,fourth quarter 15th century,walnut
4493,In the Tropics,1928,etching
1529,Walnut Cassone made for Altoviti Family,first half 16th century,walnut and poplar
1530,Small Square Walnut Table,first half 16th century,"walnut, beech, and oak"
1531,Walnut Serving Table with Sphinxes Resting on Lions,second half 16th century,walnut
1532,Walnut Serving Table with Herms and Sphinxes,second half 16th century,walnut
1534,Cassone with Coats-of-Arms,16th century,"walnut, oak, elm, and pine"
1543,High Armchair with Bronze Finials,16th century,"poplar, pine, cast brass, and upholstery"
1544,High Armchair with Bronze Finials,16th century,"poplar, pine, cast brass, and upholstery"
1545,Walnut Bench with Balustraded Back,16th century,"carved, gilded, and polychromed walnut and oak"
1548,Dantesca Chair with Inlay Work,15th century,"walnut, maple inlay, and upholstery"
1629,Cushion Cover (November),c. 1600/1699,
1549,Dantesca Chair with Inlay Work,15th century,"walnut, maple inlay, and upholstery"
1552,Walnut Savonarola Chair with Letters G.M.,c. 1520/1540,walnut
1554,Walnut Cassabanca with Medici Arms,c. 1540/1560,walnut and poplar
1555,Cassetta,c. 1375/1400,"wood, painted and gilded gesso, and lead white (?); gilded brass handle; velvet lining"
1556,Walnut Savonarola Chair with Medici Arms,16th century,walnut
1557,Walnut Savonarola Chair with Medici Arms,16th century,walnut
1633,Cushion Cover (September),c. 1600/1699,
1567,Writing Table (table à écrire),1784,"veneered on oak with mahogany, sycamore, ebony, and boxwood"
1568,Chest of Drawers (commode),1745/1749,"veneered on oak, mostly stained black, with panels of Japanese black-and-gold (_togidashi_) lacquer; gilded bronze mounts; marble top"
1637,Cushion Cover (October),c. 1600/1699,
1569,Writing Table (table à écrire),c. 1780,"veneered on oak with mahogany, sycamore, purplewood, boxwood, ebony, and holly; gilded bronze mounts"
1570,Roll-top Desk (Bureau à cylindre),c. 1775/1785,"veneered on oak principally with tulipwood and purplewood, with ebony (or wood stained to resemble ebony) and boxwood for stringing; gilded bronze mounts"
1572,Chest of Drawers (commode),probably between 1767 and 1772 but possibly a decade earlier,"oak veneered with tulipwood, kingwood, casuarina, and purplewood; gilded bronze mounts; breccia marble top"
1573,Writing and Toilet Table (table mécanique),c. 1750/1755,"veneered on oak with marquetry of tulipwood, kingwood, sycamore, ebony, boxwood, and other woods, some of them stained green and with traces of other colors; gilded bronze mounts"
1574,Chest of Drawers (commode),"mid-18th century, possibly 1743/1744","veneered on oak stained black with tulipwood, kingwood, sycamore, purplewood, boxwood, and other woods, some showing traces of having been colored by staining; gilded bronze mounts; marble top"
1581,Writing Table with Mechanical Fittings (table à transformation),"c. 1760/1770, altered extensively first half 19th century","veneered on oak with tulipwood, kingwood, sycamore, purplewood, boxwood, ebony, and other woods; gilded bronze mounts"
1575,Writing Table (bureau plat à espagnolettes coiffées d'aigrettes),c. 1720/1725 and after,"veneered on pine with tulipwood and kingwood, the top inlaid with black leather; oak drawers; gilded bronze mounts"
1577,Corner-Cupboard (encoignure),probably 1745/1749,"veneered on oak, stained black, with ebonized wood; japanned on each door with _vernis Martin_; gilded bronze mounts; black and gold Portor marble top"
1578,Corner-Cupboard (encoignure),probably 1745/1749,"veneered on oak, stained black, with ebonized wood, sycamore and kingwood veneers; japanned on each door with _vernis Martin_; gilded bronze mounts; black and gold Portor marble top"
1582,Combined Toilet and Writing Table (toilette à transformations),c. 1764/1775,"veneered on oak with tulipwood, kingwood, pearwood, purplewood, sycamore, holly, boxwood, and ebony, some of the woods being originally stained green and other colors; drawers partially of mahogany; sparsely mounted with gilded bronze"
1583,Writing Table (bureau plat),c. 1740/1745,"veneered on oak and pine with kingwood, tulipwood, purplewood, boxwood, and ebony; gilded bronze mounts"
1585,Work and Writing Table,c. 1770,"veneered with sycamore, tulipwood, purplewood, ebony, boxwood, and various other woods; gilded bronze mounts"
1586,Sofa,probably c. 1830/1850,
1589,Armchair,probably c. 1830/1850,
1590,Armchair,probably c. 1830/1850,
1591,Armchair,probably c. 1830/1850,
1592,Armchair,probably c. 1830/1850,
1593,Armchair,probably c. 1830/1850,
1594,Armchair,probably c. 1830/1850,
1595,Armchair,probably c. 1830/1850,
1597,Armchair,probably c. 1830/1850,
1599,Covered Jar in Gilt-Bronze Mount,mid/late 18th century,"porcelain with overglaze famille verte enamel decoration, in gilt-bronze mount"
1600,Covered Jar in Gilt-Bronze Mount,mid/late 18th century,"porcelain with overglaze famille verte enamel decoration, in gilt-bronze mount"
1649,Velvet Table Cover,c. 1500/1599,"embroidered velvet: dyed silk warp and weft; spun silver-gilt, yellow silk, and linen thread; silver-gilt tinsel; silver-gilt sequins; paper; light blue taffeta"
1601,Vase Mounted as an Ewer,mid 18th century (vase); c. 1780/1785 (mounts),"porcelain with light green celadon glaze and underglaze decoration in white slip, with lip, handle, and foot of gilded bronze"
1602,Vase Mounted as an Ewer,mid 18th century (vase); c. 1780/1785 (mounts),"porcelain with light green celadon glaze and underglaze decoration in white slip, with lip, handle, and foot of gilded bronze"
1603,"Vase in the Form of a Carp, Mounted as an Ewer","Yongzheng period, 1723/1735 (vase); c. 1730/1755 (mounts)","porcelain with blue celadon glaze, in gilt-bronze mount"
1604,"Vase in the Form of a Carp, Mounted as an Ewer","Yongzheng period, 1723/1735 (vase); c. 1730/1755 (mounts)","porcelain with blue celadon glaze, in gilt-bronze mount"
2348,"""La partie de chasse de Henri IV"" II",,etching and engraving with stipple
1650,Velvet Gothic Cope,c. 1400/1499,"velvet: dyed silk warp and weft; trim: dyed silk, spun silver and silver-gilt yarn, silver tinsel; lining: dyed silk warp and weft"
1610,Ecce Homo,c. 1583,"tapestry: undyed silk warp; spun silver, silver-gilt, and dyed silk weft"
1611,Mater Dolorosa,c. 1583,"tapestry: undyed silk warp; spun silver, silver-gilt, and dyed silk weft"
1613,Spring,c. 1781,tapestry: undyed wool warp; dyed wool and silk weft
1614,Summer,1781,tapestry: undyed wool warp; dyed wool and silk weft
1615,Autumn,1781,tapestry: undyed wool warp; dyed wool and silk weft
1616,Winter,1781,tapestry: undyed wool warp; dyed wool and silk weft
1651,Polonaise Carpet,first half 17th century,silk pile and metal brocade on cotton warp and cotton and silk weft
1652,Polonaise Rug,first half 17th century,silk pile with gold and silver brocade on cotton warp and cotton and silk weft
1654,Arabesque Band Carpet,c. 1650,wool pile on cotton warp and cotton weft
1655,Medallion and Animal Carpet,c. 1600,wool pile on silk warp and wool and cotton weft
1656,Silk Medallion Rug,late 16th century,silk pile on silk warp and weft
1703,Vase,early 18th century,porcelain with oxblood glaze
1657,Gourd-Shaped Vase,late 17th/mid 18th century,porcelain with pale blue glaze
1658,Gourd-Shaped Vase,late 17th/mid 18th century,porcelain with pale blue glaze
1659,Water Pot,"Kangxi period, 1662/1722",porcelain with pale blue glaze
1660,Water Pot,"Kangxi period, 1662/1722",porcelain with pale blue glaze
1661,Covered Bowl,"Kangxi period, 1662/1722",porcelain with pale blue glaze
1662,Brush Washer,"Kangxi period, 1662/1722",porcelain with pale blue glaze
1663,Bottle Vase,"Yongzheng period, 1723/1735",porcelain with pale blue glaze
1664,Bottle Vase,"Yongzheng period, 1723/1735",porcelain with pale blue glaze
1665,Vase,"Kangxi period, 1662/1722",porcelain with pale blue glaze
1666,Brush Washer,"Kangxi period, 1662/1722",porcelain with pale blue glaze
1857,Le glorieux,1790,pen and india ink
1667,Brush Washer,"Kangxi period, 1662/1722",porcelain with pale blue glaze
1859,"Le fausse Agnes, Act II, Scene 6",1790,pen and india ink
1668,Water Pot,"Kangxi period, 1662/1722",porcelain with pale blue glaze
1669,Water Pot,"Kangxi period, 1662/1722",porcelain with pale blue glaze
1670,Amphora Vase,"Kangxi period, 1662/1722",porcelain with pale blue glaze
1671,Amphora Vase,"Kangxi period, 1662/1722",porcelain with pale blue glaze
1672,Amphora Vase,"Kangxi period, 1662/1722",porcelain with pale blue glaze
1673,"Vase, Meiping Shape","Kangxi period, 1662/1722",porcelain with pale blue glaze
1674,"Vase, Meiping Shape","Kangxi period, 1662/1722",porcelain with pale blue glaze
1675,"Vase, Meiping Shape","Kangxi period, 1662/1722",porcelain with pale blue glaze
1676,"Vase, Meiping Shape","Kangxi period, 1662/1722",porcelain with pale blue glaze
1677,Petal-Decorated Vase,"Kangxi period, 1662/1722",porcelain with celadon glaze
1678,Petal-Decorated Vase,"Kangxi period, 1662/1722",porcelain with celadon glaze
1679,Vase with Ringed Neck,"Kangxi period, 1662/1722",porcelain with celadon glaze
1680,"""Beehive"" Water Pot",late 19th century,porcelain with yellow glaze
1681,Water Pot,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1682,Brush Washer,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1683,Brush Washer,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
10183,The Giaour: Title Page,1932,color etching
1701,Covered Box for Seal Paste,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1685,Covered Box for Seal Paste,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1686,Covered Box for Seal Paste,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1687,Covered Box for Seal Paste,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1688,Covered Box for Seal Paste,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1689,Petal-Decorated Vase,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1690,Petal-Decorated Vase,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1691,Petal-Decorated Vase,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1692,"""Beehive"" Water Pot","Kangxi period, 1662/1722",porcelain with peachbloom glaze
1702,Covered Box for Seal Paste,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1693,"""Beehive"" Water Pot","Kangxi period, 1662/1722",porcelain with peachbloom glaze
1694,Amphora Vase,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1695,Amphora Vase,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1696,Amphora Vase,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1697,Amphora Vase,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1698,Amphora Vase,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1699,Petal-Decorated Vase,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1700,Petal-Decorated Vase,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1714,"Vase, Meiping Shape",mid/late 18th century,porcelain with apple-green glaze
1704,Vase,early 18th century,porcelain with oxblood glaze
1705,"Vase, called ""The Fire Cloud""",early 18th century,porcelain with oxblood glaze
1707,Vase,early 18th century,porcelain with oxblood glaze
1708,Vase,early 18th century,porcelain with oxblood glaze
1709,Covered Box for Seal Paste,"Kangxi period, 1662/1722",porcelain with peachbloom glaze
1710,Baluster Vase with Dragon Handles,"Wanli period, 1573/1620",porcelain with green glaze
1711,Jar,late 18th century,porcelain with apple-green glaze
1712,Jar,late 18th century,porcelain with apple-green glaze
1713,Bottle Vase,late 17th/early 18th century,porcelain with apple-green glaze
1858,"Drawings for ""Oeuvres de Destouche""",1790,bound volume with 6 drawings in pen and india ink
1715,Bottle Vase,late 17th/early 18th century,porcelain with apple-green glaze
1716,Vase,early/mid 18th century,porcelain with apple-green glaze
1717,Vase,18th century,porcelain with apple-green glaze
1718,Vase,late 18th/early 19th century,porcelain with apple-green glaze
1719,Vase,late 18th century,porcelain with apple-green glaze
1720,Bottle Vase,late 17th/early 18th century,porcelain with apple-green glaze
1721,Vase,early 18th century,porcelain with apple-green glaze
1722,Small Jar,late 18th/early 19th century,porcelain with apple-green glaze
1723,Bowl,late 18th/early 19th century,porcelain with apple-green glaze
1724,Bowl,late 18th/early 19th century,porcelain with apple-green glaze
2349,"""La partie de chasse de Henri IV"" II",,pen and black ink and brush and brown ink with brown wash and white heightening
2350,"""La partie de chasse de Henri IV"" III",,pen and black ink and brush and brown ink with brown wash
1725,Large Vase,late 18th/19th century,porcelain with turquoise glaze
1726,Vase,"probably Qianlong period, 1736/1795",steatitic porcelain with colorless glaze
1727,"Vase, Meiping Shape",second quarter 18th century,steatitic porcelain with colorless glaze
1728,Vase,"probably Yongzheng period, 1723/1735",steatitic porcelain with colorless glaze
1729,"Bowl with ""Rice Grain"" Decoration","probably Qianlong period, 1736/1795",porcelain with colorless glaze
1730,Vase in the Shape of a Double Gourd,18th century,porcelain with yellow glaze
1731,"""Ruby-Back"" Dish",second quarter 18th century,porcelain with overglaze famille rose enamels
1732,"""Ruby-Back"" Dish",second quarter 18th century,porcelain with overglaze famille rose enamels
1733,"""Ruby-Back"" Dish",second quarter 18th century,porcelain with overglaze famille rose enamels
1734,"""Ruby-Back"" Dish",second quarter 18th century,porcelain with overglaze famille rose enamels
1745,Reticulated Perfume Ball,"Kangxi period, 1662/1722",porcelain with famille jaune enamels on the biscuit
1735,"""Ruby-Back"" Dish",second quarter 18th century,porcelain with overglaze famille rose enamels
1736,Miniature Table,"Kangxi period, 1662/1722",porcelain with famille jaune enamels on the biscuit
1737,Wine Pot,"Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1738,Wine Pot,"Kangxi period, 1662/1722",porcelain with famille jaune enamels on the biscuit
1739,Wine Pot,"Kangxi period, 1662/1722","porcelain with famille verte, famille jaune, and famille noire  enamels on the biscuit"
1740,Wine Pot,"Kangxi period, 1662/1722","porcelain with famille verte, famille jaune, and famille noire  enamels on the biscuit"
1741,Wine Ewer,"Kangxi period, 1662/1722",porcelain with overglaze famille verte enamels
1742,Reticulated Perfume Ball,"Kangxi period, 1662/1722",porcelain with famille jaune enamels on the biscuit
1743,Stand,"Kangxi period, 1662/1722",porcelain with famille jaune enamels on the biscuit
1744,Reticulated Perfume Ball,"Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1746,Reticulated Box,"Kangxi period, 1662/1722",porcelain with famille jaune enamels on the biscuit
1747,Wine Cup,"Kangxi period, 1662/1722",porcelain with famille verte and famille jaune enamels on the biscuit
1748,Wine Cup,"Kangxi period, 1662/1722",porcelain with famille verte and famille jaune enamels on the biscuit
1749,Wine Cup,"Kangxi period, 1662/1722",porcelain with famille verte and famille jaune enamels on the biscuit
1750,Wine Cup,"Kangxi period, 1662/1722",porcelain with famille verte and famille jaune enamels on the biscuit
1751,Wine Cup,"Kangxi period, 1662/1722",porcelain with famille verte and famille jaune enamels on the biscuit
1752,Wine Cup,"Kangxi period, 1662/1722",porcelain with famille verte and famille jaune enamels on the biscuit
1753,Wine Cup,"Kangxi period, 1662/1722",porcelain with famille verte and famille jaune enamels on the biscuit
1754,Wine Cup,"Kangxi period, 1662/1722",porcelain with famille verte and famille jaune enamels on the biscuit
1755,Wine Cup,"Kangxi period, 1662/1722",porcelain with famille verte and famille jaune enamels on the biscuit
1772,Young Woman,"Kangxi period, 1662/1722",porcelain with famille verte enamels on the biscuit
1756,Wine Cup,"Kangxi period, 1662/1722",porcelain with famille verte and famille jaune enamels on the biscuit
1757,Wine Cup,"Kangxi period, 1662/1722",porcelain with famille verte and famille jaune enamels on the biscuit
